α,β,L,id,time,h_sample,strain
0.33727086,0.032048367,16.563873,001,45.73,116.454,jt305
0.32979164,0.022370953,14.994699,002,45.73,116.454,jt305
0.32025155,0.025900483,16.58528,003,45.73,116.454,jt305
0.32970768,0.02949078,16.73544,004,45.73,116.454,jt305
0.33432004,0.039774273,18.730648,005,45.73,116.454,jt305
0.32175285,0.033576295,18.27381,006,45.73,116.454,jt305
0.3444737,0.034859166,16.449684,007,45.73,116.454,jt305
0.33814847,0.043181803,19.05538,008,45.73,116.454,jt305
0.33610922,0.021295788,14.480209,009,45.73,116.454,jt305
0.36837608,0.034385994,15.105237,010,45.73,116.454,jt305
0.33930293,0.022522062,14.304781,best,46.44,120.09,jt305
0.34789237,0.03952169,17.629292,001,46.44,120.09,jt305
0.3460426,0.021850623,13.518747,002,46.44,120.09,jt305
0.35110375,0.009537013,11.395761,003,46.44,120.09,jt305
0.37743536,0.018982645,11.742967,004,46.44,120.09,jt305
0.33740208,0.010971634,12.075547,005,46.44,120.09,jt305
0.3674941,0.028985126,13.575246,006,46.44,120.09,jt305
0.33693793,0.03426297,17.200932,007,46.44,120.09,jt305
0.34067518,0.014717073,12.451721,008,46.44,120.09,jt305
0.33669823,0.037953354,18.370808,009,46.44,120.09,jt305
0.37006617,0.02801002,13.760878,010,46.44,120.09,jt305
0.33934397,0.022614844,14.318784,best,47.14,120.624,jt305
0.3520885,0.009428562,10.983977,001,47.14,120.624,jt305
0.34754795,0.02107574,13.346604,002,47.14,120.624,jt305
0.3608076,0.025417674,13.689475,003,47.14,120.624,jt305
0.32835874,0.022608375,14.895296,004,47.14,120.624,jt305
0.34069693,0.014526008,12.433431,005,47.14,120.624,jt305
0.34324354,0.017728126,12.766292,006,47.14,120.624,jt305
0.36224827,0.009606833,10.563597,007,47.14,120.624,jt305
0.33474183,0.024382798,14.975344,008,47.14,120.624,jt305
0.332775,0.023905411,14.977125,009,47.14,120.624,jt305
0.34136808,0.017686412,12.883151,010,47.14,120.624,jt305
0.339418,0.022794684,14.346825,best,47.84,122.494,jt305
0.33620927,-0.0030516374,9.142721,001,47.84,122.494,jt305
0.33347887,0.019076288,13.764174,002,47.84,122.494,jt305
0.35117996,0.021226956,13.300859,003,47.84,122.494,jt305
0.32818884,0.008732285,12.21512,004,47.84,122.494,jt305
0.35072306,0.029248517,15.063346,005,47.84,122.494,jt305
0.34034562,0.030388404,15.958263,006,47.84,122.494,jt305
0.33563378,0.0107361255,12.179268,007,47.84,122.494,jt305
0.33843455,0.019700272,13.694617,008,47.84,122.494,jt305
0.33098188,0.023311784,14.99475,009,47.84,122.494,jt305
0.3230892,0.019261915,14.993843,010,47.84,122.494,jt305
0.3393526,0.022601467,14.314735,best,48.54,126.038,jt305
0.33791953,0.017173199,13.221312,001,48.54,126.038,jt305
0.3359423,0.00693969,11.44121,002,48.54,126.038,jt305
0.33396804,0.0417707,19.210764,003,48.54,126.038,jt305
0.35252228,0.020921316,13.059806,004,48.54,126.038,jt305
0.33625418,0.018845119,13.595938,005,48.54,126.038,jt305
0.3593065,0.004297072,9.743,006,48.54,126.038,jt305
0.33682358,0.025938636,14.955738,007,48.54,126.038,jt305
0.35093376,0.03435863,16.017847,008,48.54,126.038,jt305
0.3361076,0.03353216,17.017084,009,48.54,126.038,jt305
0.32790226,0.02125108,14.848815,010,48.54,126.038,jt305
0.33926412,0.02230948,14.26503,best,49.24,127.793,jt305
0.34047505,0.042571817,19.127796,001,49.24,127.793,jt305
0.34636226,0.019291596,13.102489,002,49.24,127.793,jt305
0.37187755,0.016864568,11.393892,003,49.24,127.793,jt305
0.34963894,0.029629549,15.352926,004,49.24,127.793,jt305
0.33530933,0.025276758,14.962794,005,49.24,127.793,jt305
0.36030975,0.023866383,13.356236,006,49.24,127.793,jt305
0.3453723,0.051891983,20.424273,007,49.24,127.793,jt305
0.33812478,0.036698803,18.03704,008,49.24,127.793,jt305
0.358443,0.020459695,12.968744,009,49.24,127.793,jt305
0.32990655,0.021413578,14.929006,010,49.24,127.793,jt305
0.3391878,0.022030914,14.216601,best,49.94,129.444,jt305
0.32173207,0.022839984,15.746424,001,49.94,129.444,jt305
0.32864463,0.018282847,14.140167,002,49.94,129.444,jt305
0.33375463,0.034855295,17.61882,003,49.94,129.444,jt305
0.32665637,0.0065333718,12.006066,004,49.94,129.444,jt305
0.35880157,0.017684499,12.174409,005,49.94,129.444,jt305
0.33341837,0.0315852,16.834127,006,49.94,129.444,jt305
0.34729746,0.014298722,12.076012,007,49.94,129.444,jt305
0.3301017,0.025202148,15.774408,008,49.94,129.444,jt305
0.3902492,0.0134883635,10.168737,009,49.94,129.444,jt305
0.35235232,0.030538773,14.928126,010,49.94,129.444,jt305
0.3391483,0.021860994,14.186175,best,50.7,130.366,jt305
0.32789612,0.014153213,13.628449,001,50.7,130.366,jt305
0.33261433,0.024224741,14.966356,002,50.7,130.366,jt305
0.33700275,0.025237037,14.898968,003,50.7,130.366,jt305
0.32599834,0.025509898,16.76577,004,50.7,130.366,jt305
0.34688067,0.019452142,13.1684265,005,50.7,130.366,jt305
0.33594692,0.025498064,14.836683,006,50.7,130.366,jt305
0.3288818,0.03776086,18.927242,007,50.7,130.366,jt305
0.37282112,0.024024272,12.872069,008,50.7,130.366,jt305
0.35552248,0.011342271,11.082215,009,50.7,130.366,jt305
0.32766417,0.00871124,12.088406,010,50.7,130.366,jt305
0.33909693,0.02161837,14.1421385,best,51.44,131.87,jt305
0.3437589,0.014505162,12.042837,001,51.44,131.87,jt305
0.35039404,0.036618,16.644392,002,51.44,131.87,jt305
0.32864058,0.02833828,16.106256,003,51.44,131.87,jt305
0.3436606,0.014001455,12.221254,004,51.44,131.87,jt305
0.34611976,0.027578298,14.87304,005,51.44,131.87,jt305
0.34680903,0.0056543923,10.807383,006,51.44,131.87,jt305
0.34291318,0.020767072,13.78512,007,51.44,131.87,jt305
0.33172253,0.02412238,14.938391,008,51.44,131.87,jt305
0.35176477,0.022919156,13.519845,009,51.44,131.87,jt305
0.32975212,0.030346338,16.840698,010,51.44,131.87,jt305
0.3389822,0.020987632,14.025607,best,52.19,135.425,jt305
0.3634492,0.012279877,11.294481,001,52.19,135.425,jt305
0.344533,0.023681762,14.450361,002,52.19,135.425,jt305
0.3420134,0.021215884,14.027761,003,52.19,135.425,jt305
0.35373047,0.013384689,11.554419,004,52.19,135.425,jt305
0.3329459,0.034161646,17.558292,005,52.19,135.425,jt305
0.34377772,0.02453866,14.469358,006,52.19,135.425,jt305
0.31964505,0.015238914,14.047411,007,52.19,135.425,jt305
0.34400657,0.028468383,15.261551,008,52.19,135.425,jt305
0.3449264,0.020274445,13.399642,009,52.19,135.425,jt305
0.33253038,0.019878363,14.217071,010,52.19,135.425,jt305
0.3388962,0.020388873,13.912607,best,52.94,135.931,jt305
0.3321983,0.010282245,12.148464,001,52.94,135.931,jt305
0.3597701,0.011327327,10.595621,002,52.94,135.931,jt305
0.3375136,0.01709088,13.046458,003,52.94,135.931,jt305
0.32866865,0.022043457,14.842727,004,52.94,135.931,jt305
0.36850503,0.017479433,11.869121,005,52.94,135.931,jt305
0.33814573,0.034640346,17.36486,006,52.94,135.931,jt305
0.36415705,0.026622508,13.805767,007,52.94,135.931,jt305
0.3515902,0.0043447018,10.075441,008,52.94,135.931,jt305
0.33887738,0.036861204,17.688465,009,52.94,135.931,jt305
0.32082593,0.023781251,15.956085,010,52.94,135.931,jt305
0.33883372,0.019777805,13.79471,best,53.69,137.931,jt305
0.31820694,0.018602017,14.799352,001,53.69,137.931,jt305
0.34989727,0.02039117,13.390957,002,53.69,137.931,jt305
0.32361653,0.018706864,14.845651,003,53.69,137.931,jt305
0.33161625,0.014171669,12.728984,004,53.69,137.931,jt305
0.3944288,0.01064423,9.565071,005,53.69,137.931,jt305
0.32765156,0.020292575,14.829268,006,53.69,137.931,jt305
0.32708475,0.031081602,17.473917,007,53.69,137.931,jt305
0.34448302,0.014770688,12.461046,008,53.69,137.931,jt305
0.36528736,0.010238389,10.515934,009,53.69,137.931,jt305
0.3372488,0.013878289,12.385953,010,53.69,137.931,jt305
0.3386258,0.019103881,13.670389,best,54.74,142.33,jt305
0.32950157,0.02840943,16.787827,001,54.74,142.33,jt305
0.33628958,0.022201687,14.810488,002,54.74,142.33,jt305
0.3433752,0.024913592,15.092367,003,54.74,142.33,jt305
0.3268917,0.029984204,16.871897,004,54.74,142.33,jt305
0.33394504,0.023412919,14.848857,005,54.74,142.33,jt305
0.32413974,0.033159714,18.342522,006,54.74,142.33,jt305
0.33671996,0.019865045,13.757438,007,54.74,142.33,jt305
0.34989053,0.017694427,12.8128195,008,54.74,142.33,jt305
0.32821345,0.002251389,11.073039,009,54.74,142.33,jt305
0.3433438,0.015632492,12.762369,010,54.74,142.33,jt305
0.33931664,0.018045593,13.408374,best,55.66,144.986,jt305
0.32122943,0.023940073,15.824915,001,55.66,144.986,jt305
0.34871224,0.018898094,12.938489,002,55.66,144.986,jt305
0.3688434,0.017653054,11.578981,003,55.66,144.986,jt305
0.32415172,0.023642529,15.793006,004,55.66,144.986,jt305
0.3425067,0.0141106695,12.371844,005,55.66,144.986,jt305
0.35432306,0.022428975,13.331576,006,55.66,144.986,jt305
