α,β,L,h_max,strain
0.7667918739075626,0.05123022668943587,15.004987614774514,224.58816434371343,bgt127
0.7494059048093458,0.05270071491983879,15.772219992367049,224.2814886327549,bgt127
0.7588364109370347,0.05137523247459255,15.159772028592545,223.91698183536153,bgt127
0.7726865541122923,0.0487306531453567,14.579319035541175,231.17366708123978,bgt127
0.7505683000989893,0.05661182104849971,16.18592245603672,214.59546925638944,bgt127
0.7617050396949612,0.05123054853293565,15.250430855909881,226.74615777338528,bgt127
0.7585506222531924,0.0531647713429598,15.485743073816106,220.9493194077623,bgt127
0.7613184991419935,0.05251732227376723,15.474035291551164,224.3196875579945,bgt127
0.7849102693163313,0.04659632154581674,13.973602917903262,235.38391155676095,bgt127
0.781726280272367,0.050998764221152286,14.576164834576543,223.42837695750245,bgt127
0.8141285951550012,0.04492271563407178,13.112560676862092,237.63724993156296,bgt127
0.7520631576595241,0.05478889394409645,16.067898696371746,220.55701001879333,bgt127
0.7490871047925003,0.05251766857471255,15.578585172088427,222.20554681938236,bgt127
0.780864637205123,0.049065327472226014,14.516130215507593,231.02123919933157,bgt127
0.7585633112962961,0.059707635921790465,16.205345130772425,205.8828837102183,bgt127
0.7619291654166085,0.049400690639062585,14.811002274676772,228.43677803169481,bgt127
0.7491250368109387,0.05284596511666722,15.778948189891558,223.67658755961185,bgt127
0.7869261155823838,0.05031714942423226,14.420153433317655,225.52142673483294,bgt127
0.7500281394291586,0.05424516839367081,15.808260566635031,218.5750475389438,bgt127
0.7643874027283691,0.0540150881040512,15.476122305459292,219.00830580130744,bgt127
0.7430668320541599,0.05132903447697772,15.528999439887942,224.8061849662087,bgt127
0.7632983494351651,0.05290091765508533,15.433665472889174,222.6897358945597,bgt127
0.7607824024853391,0.05426908739749968,15.44138714110587,216.46827264425286,bgt127
0.8021730654968242,0.050264525821224454,14.04680695129035,224.17341073972136,bgt127
0.7449273865162617,0.053407250112597254,15.8897452612316,221.63107789491798,bgt127
0.7625841256761431,0.051483584738334164,15.12707406622743,224.0649443791151,bgt127
0.760105464887665,0.05332582924548659,15.433965625962307,219.9954840491346,bgt127
0.7433416802909313,0.053107106669131224,15.800781662275062,221.16398966944178,bgt127
0.7582681575979443,0.053305754666841204,15.526756771075775,220.86630841001292,bgt127
0.7566638385240493,0.05509710150177337,15.756667937190066,216.39070874389478,bgt127
0.7478943811661423,0.05395510378669662,15.888361239019067,220.2352560302212,bgt127
0.7585983433768365,0.05170382066800487,15.339095237465127,225.05517166241523,bgt127
0.7888463817948081,0.05184739550410227,14.577854448350985,221.79875428849928,bgt127
0.8065921973951133,0.04954105355359897,13.90308087126165,226.36007404203133,bgt127
0.7925870490314968,0.05121989608224688,14.342735202527573,221.94239033514296,bgt127
0.7557548868103364,0.054038862965562325,15.549983354210953,217.47267179277196,bgt127
0.803499888333824,0.04782336604336338,13.67119355638361,229.69530179000702,bgt127
0.7598465422455544,0.05276013802287975,15.363750551807524,221.26728947622607,bgt127
0.760651272199656,0.05195862518629278,15.26129876193105,223.41865815464908,bgt127
0.7511150052352134,0.0524488831976368,15.568846855726553,222.9598377429738,bgt127
0.7545238275591334,0.0492333714479371,14.97980053273311,229.572261692099,bgt127
0.7526575713841517,0.055308644468114954,15.992678054958642,217.6334339872141,bgt127
0.754217929151407,0.04573629298635404,14.397978333869082,237.43099175478733,bgt127
0.7681990644811063,0.052755054192254104,15.198645507476773,221.31690392496884,bgt127
0.7577994873976791,0.05003037710580764,14.920682471978788,226.00040581298222,bgt127
0.7556081613570479,0.05009818634537543,15.196401182247438,229.2004081225988,bgt127
0.7691431398226605,0.05132787361595532,14.843199287592663,222.42388201181305,bgt127
0.7530874394239117,0.05479388419440846,15.81413110569501,217.3495030731405,bgt127
0.7671835944020293,0.04859771163836905,14.755333231109292,232.93379879855678,bgt127
0.771223534763966,0.051957783234674856,14.987020177893829,222.4564243814874,bgt127
0.7927898678995428,0.05030139317494991,14.352586582342665,226.20815254673155,bgt127
0.7820731179809275,0.04953046018417807,14.410817270763463,227.54306650273264,bgt127
0.7508350777887788,0.05280405021591214,15.664576263697622,222.7388484290436,bgt127
0.780585001305,0.04788223218980616,14.220371180465524,231.82311995104587,bgt127
0.7385806832354164,0.05183579069581385,15.708690423385097,223.82479653338,bgt127
0.7602343688269213,0.04860766963079483,14.797290292504448,231.43279098374867,bgt127
0.7559521334727618,0.05033617240695518,15.125731725553758,227.15928966202182,bgt127
0.745414498190862,0.05294876849390593,15.682292705673415,220.7758306791817,bgt127
0.7732401197254161,0.050747881342799575,14.835133908233141,226.04137189211679,bgt127
0.7593517396372489,0.04978592823810727,14.971825133445822,228.35531771655857,bgt127
0.7891239626495348,0.049879779508076066,14.356526479783865,227.12768936309593,bgt127
0.7566381471767013,0.053702142271437305,15.672949251495579,220.82454779003157,bgt127
0.7455426443089274,0.05183992453145218,15.78327912825333,226.98928988611047,bgt127
0.7636306137692604,0.0516614587429325,15.221245952792902,224.99189283644154,bgt127
0.7632928507223198,0.05284546057101601,15.175053860378473,219.18647308196472,bgt127
0.7540929605771449,0.052754990242647334,15.658927375225364,223.83260521011965,bgt127
0.7754692935624985,0.05005778701976158,14.660753584003771,227.11679644154236,bgt127
0.7844393982006203,0.04745033326117023,14.113311999245097,233.31844500163118,bgt127
0.786084613018722,0.047589937834815334,14.073051671737693,232.4568990984758,bgt127
0.7502748591809785,0.05263600765084106,15.698902682020181,223.7725185614523,bgt127
0.7455137405684861,0.05548486556164079,16.17415309259932,217.32148488663447,bgt127
