t,h,α,β,L
10,8.608,0.4579369407564861,-0.11034107152136428,28.746878618115034
10,8.608,0.4090427217640611,-0.06144685252893021,28.746878618115034
10,8.608,0.3949488458604764,-0.04735297662534613,28.746878618115034
10,8.608,0.42031388097032446,-0.07271801173518487,28.746878618115034
10,8.608,0.42794541402506725,-0.08034954478908467,28.746878618115034
10,8.608,0.38170394911817107,-0.034108079884410634,28.746878618115034
10,8.608,0.3794440061255826,-0.03184813689044422,28.746878618115034
10,8.608,0.4008352129559548,-0.053239343720832735,28.746878618115034
10,8.608,0.4229772376279003,-0.07538136839278227,28.746878618115034
10,8.608,0.4009330810899532,-0.053337211854812897,28.746878618115034
10,8.608,0.39942010976066905,-0.05182424052554316,28.746878618115034
10,8.608,0.3916392747674233,-0.04404340553229991,28.746878618115034
10,8.608,0.3902797894972483,-0.042683920262278706,28.746878618115034
10,8.608,0.4008384648039641,-0.05324259556885929,28.746878618115034
10,8.608,0.40089206196124716,-0.05329619272611508,28.746878618115034
10,8.608,0.4761118485883725,-0.12851597935336692,28.746878618115034
10,8.608,0.380815123263215,-0.033219254028092615,28.746878618115034
10,8.608,0.40285415641826355,-0.05525828718314907,28.746878618115034
10,8.608,0.36817044289986406,-0.02057457366474686,28.746878618115034
10,8.608,0.39820051884966484,-0.05060464961454036,28.746878618115034
10,8.608,0.37888002055491327,-0.03128415131978905,28.746878618115034
10,8.608,0.40260342069533767,-0.055007551460206985,28.746878618115034
10,8.608,0.40426384782775926,-0.056667978592566726,28.746878618115034
10,8.608,0.3677171563125377,-0.02012128707739724,28.746878618115034
10,8.608,0.3926790576817943,-0.045083188446668115,28.746878618115034
10,8.608,0.3982674797716598,-0.050671610536533844,28.746878618115034
10,8.608,0.39578587115822966,-0.04819000192311666,28.746878618115034
10,8.608,0.4037910394633677,-0.056195170228233796,28.746878618115034
10,8.608,0.3889417107567795,-0.04134584152164856,28.746878618115034
10,8.608,0.40135917027934903,-0.05376330104422255,28.746878618115034
10,8.608,0.37332363612911945,-0.025727766893983362,28.746878618115034
10,8.608,0.4020542149742789,-0.054458345739153154,28.746878618115034
10,8.608,0.3797058727860288,-0.03211000355090217,28.746878618115034
10,8.608,0.4197116433535156,-0.07211577411820959,28.746878618115034
10,8.608,0.39004542472994613,-0.042449555494840606,28.746878618115034
10,8.608,0.39424592861163005,-0.0466500593764984,28.746878618115034
10,8.608,0.4524008764487752,-0.104805007213652,28.746878618115034
10,8.608,0.3883698222024438,-0.040773952967313926,28.746878618115034
10,8.608,0.39669602962765993,-0.049100160392561376,28.746878618115034
10,8.608,0.383855245610196,-0.03625937637508932,28.746878618115034
10,8.608,0.39620367564595155,-0.04860780641083423,28.746878618115034
10,8.608,0.39729179173222434,-0.049695922497096146,28.746878618115034
10,8.608,0.39963776965182796,-0.05204190041655148,28.746878618115034
10,8.608,0.38838779303960835,-0.04079192380447305,28.746878618115034
10,8.608,0.3900379807423767,-0.04244211150724759,28.746878618115034
10,8.608,0.4050931008147173,-0.05749723157958216,28.746878618115034
10,8.608,0.3609791837845999,-0.013383314549464296,28.746878618115034
10,8.608,0.4035468047710748,-0.055950935536005185,28.746878618115034
10,8.608,0.3865823384552504,-0.03898646922011133,28.746878618115034
10,8.608,0.3821651979606969,-0.03456932872556194,28.746878618115034
10,8.608,0.40507870057082757,-0.05748283133571754,28.746878618115034
10,8.608,0.39056847407528816,-0.04297260484016718,28.746878618115034
10,8.608,0.4035068447440378,-0.05591097550890256,28.746878618115034
10,8.608,0.40115602162779423,-0.05356015239264863,28.746878618115034
10,8.608,0.3899213140200474,-0.042325444784888144,28.746878618115034
10,8.608,0.3828206906061951,-0.03522482137106078,28.746878618115034
10,8.608,0.37681410682792366,-0.029218237593777598,28.746878618115034
10,8.608,0.36164356080048615,-0.014047691565354297,28.746878618115034
10,8.608,0.4284456768917318,-0.08084980765575338,28.746878618115034
10,8.608,0.39565839111865564,-0.0480625218835315,28.746878618115034
10,8.608,0.3998629224849098,-0.05226705324978398,28.746878618115034
10,8.608,0.38552546741225796,-0.03792959817713005,28.746878618115034
10,8.608,0.4018860837186456,-0.054290214483535715,28.746878618115034
10,8.608,0.4095566006235609,-0.06196073138843976,28.746878618115034
10,8.608,0.3917001319735533,-0.04410426273841005,28.746878618115034
