t,h,α,β,L
10,6.008,0.4058311644086678,-0.04983116440866659,12.131
10,6.008,0.40558162690289273,-0.04958162690290987,12.131
10,6.008,0.4100700103973691,-0.0540700103973764,12.131
10,6.008,0.39304492829890403,-0.03704492829890799,12.131
10,6.008,0.4328841564266045,-0.07688415642660514,12.131
10,6.008,0.39619404285118937,-0.040194042851181146,12.131
10,6.008,0.44528664874436025,-0.0892866487443586,12.131
10,6.008,0.3983940146056353,-0.042394014605633204,12.131
10,6.008,0.39188855369859726,-0.035888553698581495,12.131
10,6.008,0.38667975432560703,-0.030679754325608304,12.131
10,6.008,0.39235059415634665,-0.036350594156344763,12.131
10,6.008,0.387024208202789,-0.031024208202789796,12.131
10,6.008,0.4119914816985862,-0.055991481698589446,12.131
10,6.008,0.3926949144101876,-0.036694914410184694,12.131
10,6.008,0.4158899959136513,-0.059889995913594854,12.131
10,6.008,0.41140144845325993,-0.05540144845326173,12.131
10,6.008,0.4412834428116608,-0.08528344281166272,12.131
10,6.008,0.39986211313458836,-0.043862113134570994,12.131
10,6.008,0.38915443652535475,-0.033154436525359786,12.131
10,6.008,0.39195190137938707,-0.035951901379389986,12.131
10,6.008,0.40744749276306613,-0.051447492763069334,12.131
10,6.008,0.39050272475314873,-0.03450272475315069,12.131
10,6.008,0.3893550848602772,-0.03335508486027664,12.131
10,6.008,0.433464700831667,-0.07746470083167865,12.131
10,6.008,0.3832909729206402,-0.02729097292063312,12.131
10,6.008,0.3884076061445104,-0.03240760614450936,12.131
10,6.008,0.391602897644897,-0.035602897644931894,12.131
10,6.008,0.48767114866302386,-0.13167114866304044,12.131
10,6.008,0.3973548681038652,-0.04135486810385541,12.131
10,6.008,0.4627791582952105,-0.10677915829515547,12.131
10,6.008,0.39724512365126097,-0.04124512365131024,12.131
10,6.008,0.39366883653219353,-0.037668836532191295,12.131
10,6.008,0.40575208628957515,-0.049752086289561605,12.131
10,6.008,0.3994014450859056,-0.043401445085917825,12.131
10,6.008,0.411182068472036,-0.055182068472030825,12.131
10,6.008,0.4085162044676887,-0.05251620446768717,12.131
10,6.008,0.4063092332306094,-0.05030923323060822,12.131
10,6.008,0.3905993580133732,-0.034599358013374826,12.131
10,6.008,0.43213977065077636,-0.07613977065077217,12.131
10,6.008,0.4324013106353066,-0.07640131063529104,12.131
10,6.008,0.38957435318576505,-0.03357435318576097,12.131
10,6.008,0.39634555031344043,-0.04034555031344257,12.131
10,6.008,0.4008689466410657,-0.04486894664106215,12.131
10,6.008,0.39096509237489463,-0.03496509237488425,12.131
10,6.008,0.4103431217375813,-0.05434312173776383,12.131
10,6.008,0.4142302869083983,-0.05823028690843253,12.131
10,6.008,0.3921935935372216,-0.03619359353722027,12.131
10,6.008,0.40351546981395986,-0.047515469813959925,12.131
10,6.008,0.38910448447574264,-0.03310448447574302,12.131
10,6.008,0.3888616676707549,-0.03286166767075892,12.131
10,6.008,0.45939412208135555,-0.1033941220813535,12.131
10,6.008,0.3941349695329618,-0.038134969532970124,12.131
10,6.008,0.38979422401457864,-0.03379422401455546,12.131
10,6.008,0.3930073199769379,-0.03700731997693511,12.131
10,6.008,0.4181062348607093,-0.062106234860708195,12.131
10,6.008,0.45037387518748256,-0.09437387518748386,12.131
10,6.008,0.38918263745787174,-0.03318263745787346,12.131
10,6.008,0.3918974799206012,-0.035897479920611174,12.131
10,6.008,0.3843194222567295,-0.028319422256725534,12.131
10,6.008,0.39136535178349907,-0.035365351783482116,12.131
10,6.008,0.393616968793371,-0.037616968793368906,12.131
10,6.008,0.40805598271403737,-0.05205598271403507,12.131
10,6.008,0.39248578523689237,-0.036485785236890396,12.131
10,6.008,0.3986703769338066,-0.04267037693382504,12.131
10,6.008,0.39084519045764854,-0.03484519045766392,12.131
10,6.008,0.3904065095970173,-0.03440650959701728,12.131
10,6.008,0.39637147512211157,-0.04037147512209085,12.131
10,6.008,0.4727608152310548,-0.11676081523107684,12.131
10,6.008,0.39111997005069393,-0.03511997005070012,12.131
10,6.008,0.40003236873471104,-0.044032368734695404,12.131
10,6.008,0.3952433117996027,-0.03924331179960295,12.131
10,6.008,0.41218574359208954,-0.05618574359208945,12.131
10,6.008,0.39349496858393207,-0.037494968583937395,12.131
10,6.008,0.39922668285045215,-0.04322668285044915,12.131
10,6.008,0.40196253819798144,-0.045962538197968916,12.131
10,6.008,0.39025182433352523,-0.034251824333523286,12.131
10,6.008,0.3940297542838074,-0.038029754283798484,12.131
10,6.008,0.38993725978099225,-0.03393725978098136,12.131
10,6.008,0.3922753430174104,-0.03627534301739002,12.131
10,6.008,0.39862258160072517,-0.042622581600734386,12.131
10,6.008,0.39227585296796147,-0.03627585296796944,12.131
10,6.008,0.394207566732045,-0.03820756673202156,12.131
10,6.008,0.4152543162649534,-0.05925431626495627,12.131
10,6.008,0.3899929809962001,-0.033992980996200545,12.131
10,6.008,0.39176351894012157,-0.035763518940118116,12.131
10,6.008,0.38989473649055056,-0.03389473649056851,12.131
10,6.008,0.39091121526725936,-0.03491121526726031,12.131
10,6.008,0.3999605922647996,-0.043960592264799925,12.131
10,6.008,0.39207543953954105,-0.03607543953954437,12.131
10,6.008,0.4115182913176693,-0.05551829131768785,12.131
10,6.008,0.4058108082375533,-0.04981080823755529,12.131
10,6.008,0.3908780489120002,-0.03487804891199963,12.131
10,6.008,0.38975096825956507,-0.03375096825956268,12.131
10,6.008,0.3978994289975317,-0.04189942899755342,12.131
10,6.008,0.394194383335691,-0.03819438333569062,12.131
10,6.008,0.39198209652686805,-0.035982096526863044,12.131
10,6.008,0.39767297763712084,-0.041672977637116394,12.131
10,6.008,0.4420726328232141,-0.08607263282321463,12.131
10,6.008,0.3946651623985571,-0.03866516239855909,12.131
10,6.008,0.39377007346375664,-0.03777007346375741,12.131
12,8.838,0.3697867720446306,-0.01378677204460996,12.131
12,8.838,0.37420122769044656,-0.018248453281976725,12.057264983711764
12,8.838,0.39913692235102055,-0.043136922351019874,12.131
12,8.838,0.42629452288445,-0.07029452288444792,12.131
12,8.838,0.37317052239399295,-0.017170522394013097,12.131
12,8.838,0.3756413932288368,-0.019625888882107933,12.047625846670337
12,8.838,0.3910844953179408,-0.035084495317910976,12.131
12,8.838,0.37246116746474767,-0.016461167464745463,12.131
12,8.838,0.3731413904771285,-0.017141390477125356,12.131
12,8.838,0.38241113864654735,-0.026411138646553877,12.131
12,8.838,0.37462113816112447,-0.018620667104396787,12.07975681436156
12,8.838,0.372061319408933,-0.01606131940895491,12.131
12,8.838,0.37754184710718863,-0.02153203495350124,12.039403701549384
12,8.838,0.3702489643416435,-0.014248964341641406,12.131
12,8.838,0.3777923120480019,-0.02173679623690737,12.020069968814152
12,8.838,0.36648855524118845,-0.010488555241199135,12.131
