strain,fit,x1,x2,x3,x4
bgt127,48h,999.9999999999997,1.0000000000000003e-5,852.5049541179428,133.16136581032396
jt305,48h,10.808062758280542,1.0000000164255752e-5,18.250544355073618,1.5025837100288026
gob33,48h,2.2036219589641264,1.0000000000000003e-5,3.106236464655712,0.2763024517142748
y55,48h,937.2592264760154,1.0000000000000011e-5,999.9999999993101,110.28121655603452
bh1514,48h,999.9999999999999,1.0000000000000003e-5,859.5677780591352,136.87270404920656
ea387,48h,999.9999999999999,1.0000000000000003e-5,952.4608329151943,134.31821550248588
cc117,48h,999.9999999999999,1.0000000000000003e-5,681.9600957637838,126.0776447982178
sw520,48h,999.9999999995342,1.0000000000003599e-5,708.737341561321,131.29242691421285
sw519,48h,792.8484406634288,1.0000000000013843e-5,999.9999999953708,110.33086212672971
