time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
0.52,0.2986666666666667,0.25181209925921616,0.36858367820412513,0.32510965549093906,0.27494140904304015,0.2541630719380649,0.2890662022116593
0.85,0.287,0.11720494870098275,0.5270104355561799,0.4350360867175413,0.33762470752718887,0.2959003891558452,0.36518662074020464
1.17,0.628,0.35505070060485727,0.7299881050802463,0.5701205414236041,0.41307169806167515,0.3428944824991787,0.4580955113471334
1.5,0.4526666666666667,0.30055005129484397,1.0010252618402482,0.7445889113551192,0.5098985418291865,0.3991679508945289,0.5787274751769251
1.82,0.4086666666666667,0.19454134093640182,1.3347835376691126,0.9540134720899328,0.6270028233750847,0.46251675868368397,0.7259624779792105
2.14,0.5479999999999999,0.29983995731056257,1.7497483634441282,1.2096403639966777,0.7729095252278859,0.5358877246331446,0.9106607094920041
2.47,0.49966666666666665,0.4318684213198892,2.2747176241868425,1.5290670776733233,0.9615158006124414,0.6237142175984571,1.1504627245442591
2.79,0.399,0.37932044500659334,2.889326228058357,1.9005065783456665,1.1912503887669754,0.7225437644582678,1.4431595731991071
3.12,1.05,0.9787916019255579,3.6432218054125554,2.355426618589875,1.4895902382843715,0.8408091041089873,1.8231949167891934
3.44,1.2736666666666665,0.7725181767009325,4.500691327841795,2.874352445937899,1.8547633224141737,0.9738364281181275,2.2870113580618194
3.76,1.8366666666666667,0.49950208541439883,5.491148141922872,3.477856555279052,2.315119019644863,1.1277637999081571,2.868893175401816
4.09,3.5193333333333334,0.8015761556666547,6.659222186906279,4.197181502215825,2.9171612090895973,1.3118323698371472,3.6243465924115226
4.41,3.369666666666667,0.6690563005706868,7.939686017749412,4.9965285505878425,3.659392246569271,1.5187030204552738,4.546356074200653
4.74,4.543,0.8194437137473202,9.416261469371118,5.933504439875884,4.634864280970204,1.7658809568430547,5.743664039040936
5.06,6.477,0.9304128116056873,11.001053468813735,6.958238376341775,5.842372168940647,2.043456701728905,7.2048843027707985
5.38,7.848999999999999,1.1147048936826287,12.736218529949735,8.10339366172589,7.3828817311419614,2.364063273225604,9.03764371336986
5.83,10.000333333333332,1.49257037801684,15.42616475077989,9.927061590108822,10.217784816374957,2.9002269705000945,12.447251882838739
6.15,12.652000000000001,1.001460932837622,17.510710021589595,11.380990995711695,13.020106104916483,3.352464335139025,15.71422853497662
6.47,16.102666666666668,0.6955173134677037,19.73104925455312,12.968776828079603,16.669904360565717,3.873579755081415,19.187761261053502
6.79,18.981,1.4840340292594363,22.0795941297802,14.691953310129445,20.59254980704822,4.473527330636845,22.539707666116684
7.11,23.61433333333333,1.6981649900210918,24.547547322334328,16.55079402699679,24.369821198712597,5.163397965818726,25.831308823180322
7.43,27.307666666666666,1.3660078086648444,27.124964573173227,18.544391600139342,28.051629208330358,5.955673027810062,29.0728528808403
7.75,31.889666666666667,0.8880576182508272,29.801237524619747,20.670685876263743,31.64119927896315,6.864404650891332,32.261647842324386
8.07,35.96733333333333,0.7820104432380244,32.565119230829765,22.926459960840585,35.14166134738602,7.905062643354846,35.398557129035524
8.39,39.79633333333333,0.8658985698875676,35.40515899198687,25.30736129763937,38.55593488669555,9.094524817904782,38.48442968334938
8.72,43.41933333333333,1.344688191862087,38.40145142169682,27.887902066708957,41.98962292808922,10.496286510582186,41.61415438479298
9.04,46.339,0.8058492414837917,41.36037417734189,30.50504604546624,45.23743290315078,12.045657209922481,44.59888474317975
9.36,49.175333333333334,0.5497284177967648,44.360311587288265,33.227867457366415,48.40735388029248,13.803921138123751,47.535041462310154
9.68,51.49466666666667,0.893192215222083,47.390097193766934,36.04827682974784,51.501950712001914,15.792840210131006,50.42341327556652
10.05,55.066,0.7278962838207134,50.91645356683418,39.41980964137513,54.98942734157075,18.408765080757345,53.70454373917779
10.53,60.221666666666664,0.6534044179016035,55.503962156723674,43.94816471375838,59.3746181816002,22.36054564842214,57.86942833570032
11.02,63.804,0.739305755421936,60.17217369460105,48.719703244480534,63.69645359600227,27.111041565485667,62.016656805814094
11.51,68.08800000000001,0.36098614931877665,64.79602412670754,53.60688415076795,67.86961670763495,32.64398428702861,66.06098944528412
11.99,72.08066666666666,0.8647440854572713,69.25795248630165,58.47277048959236,71.82043202543812,38.85111498827483,69.92548155545053
12.48,76.05066666666666,0.5973912732316499,73.7225709348564,63.48716028465806,75.72017319454875,45.98883584806922,73.77360582576246
12.97,79.10066666666667,0.8886154023723295,78.07835869282508,68.51766492187744,79.49152877820595,53.88521875361161,77.52626666077494
13.46,83.32866666666666,0.5740839079205499,82.31147509787034,73.53437069630881,83.14060638140381,62.433318053857924,81.1858307181203
13.94,86.16066666666666,0.3941222314629531,86.32927952445847,78.40896219671876,86.60223746789416,71.28991231013455,84.68267783540675
14.43,89.85866666666668,0.5920813570222697,90.29181184518909,83.32084933323155,90.02605459527565,80.62675181044268,88.1647157195504
14.92,92.85566666666666,0.8252068427572201,94.10899753720362,88.14668668173371,93.34395451033704,90.03214316722537,91.56036083406191
15.41,95.77566666666667,0.7351002199246915,97.77816686399335,92.86809111004519,96.56093807961516,99.26220852589718,94.87175082789598
15.89,98.82633333333332,0.550338380756174,101.22858459276082,97.37696325932093,99.61884458483287,107.92795836218588,98.0358799715612
16.38,102.38100000000001,0.8542856665074071,104.60580861124625,101.8487842435107,102.64923975091742,116.21526330647923,101.18659329968783
16.87,105.06099999999999,1.323581882620032,107.83921819231365,106.17832422712304,105.59150289209072,123.79648569207342,104.25913251921354
17.35,108.10266666666666,0.1630654265420284,110.87072514077528,110.27425699533184,108.39200739065113,130.45627704337744,107.1950419863183
17.84,110.48333333333333,1.4421901169170914,113.83104258949842,114.30214595611336,111.17109090592768,136.45049840124332,110.11851514266257
18.33,113.41133333333333,1.0702412500615601,116.66081342318202,118.17145364781915,113.87310519768874,141.64171228839942,112.96946347778852
18.81,116.29633333333334,0.7915708012132195,119.31199547400732,121.80598279386106,116.44849761553166,145.9869137261679,115.6936423170535
19.3,118.29366666666665,1.4170001176193754,121.90162153690552,125.35657495712472,119.007723166768,149.7376890070817,118.40629497357354
19.79,120.49066666666666,1.4694520520702006,124.37977181817921,128.74677592810968,121.4994177937781,152.8965184234898,121.05169177577388
20.27,122.88933333333334,1.0422074329678004,126.7052173450577,131.91450501654518,123.8775492379144,155.46961970057322,123.57947422566995
20.76,126.24033333333334,1.1549494938452198,128.98098635466772,134.99438089132738,126.24385642220997,157.61588800991706,126.09654698934895
21.25,128.88,2.180710663980896,131.16382647689187,137.92239776967415,128.5505600215801,159.3422480319083,128.55115822961028
21.74,130.18266666666668,1.9348809610240454,133.25999434045767,140.70261437019934,130.79996892736986,160.7279916157968,130.9448489693259
22.22,132.34366666666668,1.3540595752526294,135.23537915577174,143.28699594620005,132.95006019575362,161.84426650577984,133.23207253949676
22.71,135.00699999999998,1.4709755266488913,137.17839262364032,145.7878318288782,135.09252314722633,162.78813464339783,135.50957936881352
23.2,136.995,1.328563509961046,139.05259306933579,148.15483020762528,137.1840629740653,163.5488698770166,137.73055886563048
23.68,139.89433333333332,1.4477141752892104,140.8266939127812,150.34886959243664,139.1854389801424,164.14696664659095,139.852759466069
24.16,141.01533333333333,1.5360385194822963,142.54421886685,152.42486407428868,141.14160798877958,164.6273859287813,141.9233597039545
24.65,142.81733333333332,1.594661510582523,144.24378937050128,154.42773729097365,143.09365715297173,165.02321702565357,143.98518334019036
25.14,144.96466666666666,1.4193189681439895,145.8936035558656,156.3181826637665,145.00207261199247,165.34564583788773,145.99585736472304
25.63,147.48866666666666,1.7985645202030807,147.49805848539853,158.10139848567394,146.8684838093087,165.60468771975908,147.95665706969993
26.11,149.10133333333332,1.6138315690719847,149.029850286415,159.74916291400191,148.65764539448756,165.80523003738523,149.83027855024952
26.6,151.06933333333333,1.5775190437308064,150.5564624439403,161.33504736003604,150.445468585509,165.96483438571724,151.6959775847215
27.09,152.77833333333334,1.7019695453601114,152.04883986397516,162.8285979322051,152.19550026957774,166.08895351012671,153.51540702441952
27.58,154.74333333333334,2.053368289745745,153.51009582848368,164.2346148056392,153.90893686177762,166.18855308431242,155.28974509882354
28.06,156.70566666666664,2.5455768174096334,154.9142157979126,165.53159185515295,155.55304511352708,166.2713304154238,156.9852170547363
28.55,158.18066666666667,3.1375459093586815,156.32248500776026,166.778092976448,157.1974445590944,166.34027017791092,158.67351903195754
29.04,159.28966666666665,2.330792640569589,157.7080594591024,167.95069672269184,158.8086284694005,166.39508685006942,160.31993191615513
29.53,161.29833333333332,3.439928100023802,159.07348214605744,169.05338576480585,160.38766889886534,166.437935967347,161.92548294672514
30.02,162.70466666666667,2.787583959871577,160.4210966805279,170.08993814594464,161.93560665230623,166.47111729445194,163.49117807864386
30.51,165.14266666666666,3.7120563483510485,161.7528592672094,171.06399682302992,163.45345128493773,166.49707482535322,165.0180019824677
31.0,166.129,3.7580115752881853,163.07056881614412,171.97906840787184,164.94218110237188,166.51839635523,166.50691804433328
31.48,167.15599999999998,3.0243300084481572,164.34941056619456,172.82151765072462,166.3732112388084,166.5364244452147,167.92960012075875
31.97,169.14333333333335,3.6301253881007103,165.644269423948,173.62962711849056,167.8070685584436,166.55175662843587,169.34623206616246
32.46,170.11033333333333,3.309676771730644,166.92992422435216,174.38838940581041,169.21454074228714,166.5639657697474,170.72770047644033
32.95,172.08400000000003,2.850261216099331,168.2078303650919,175.100768526601,170.59648362488633,166.573209839773,172.07488403442557
33.44,173.48866666666666,2.1949162474530413,169.47935680290374,175.76959214966752,171.95361415035256,166.57982571381044,173.3886401385315
34.06,173.32333333333335,1.7064118299324182,171.08098544471122,176.55755751960555,173.63615958028277,166.58525328527773,175.00433917685052
34.7,174.32833333333335,2.0134299921609675,172.72779657067497,177.30728465016847,175.33354929412795,166.58887045346728,176.6191685623759
35.38,175.67733333333334,1.9159189266076362,174.47260468129133,178.03836094979255,177.09454383547327,166.59279095651573,178.2778770003621
36.06,176.5596666666667,2.3415563912349766,176.21460808455828,178.707307690428,178.81324206742804,166.59680754654545,179.87978920434642
36.74,178.97199999999998,3.2435509861878353,177.9559625146168,179.31926793644908,180.49112211487852,166.59994949574155,181.4269182401157
37.41,180.15033333333335,3.508640809962371,179.67301163621298,179.87117533172,182.105819846946,166.602043174943,182.89953707705712
38.09,182.1336666666667,3.187601344794121,181.41876138641666,180.38392860052366,183.70694653516705,166.60318497549537,184.3433359263644
38.77,183.67166666666665,3.8219275677769335,183.16901414488012,180.85306522460974,185.2715204196859,166.60355456877912,185.7376587062143
39.45,185.46466666666666,3.9646972562017027,184.9250493484229,181.28231136736576,186.80092097063658,166.60355619735452,187.08416849443964
40.13,186.83866666666668,2.5958777577793124,186.68807020963894,181.67488470699163,188.29650290345495,166.6037797512287,188.38448331321223
40.81,188.886,4.044073812382754,188.45920353096705,182.03377556237666,189.75957524081335,166.6045598270584,189.64017612904286
41.49,190.66066666666666,4.49260618498141,190.23949970469096,182.36179394322923,191.1910818546856,166.60540940241842,190.8527748527813
42.17,192.87366666666665,5.242935278384937,192.0299196198962,182.66156955007688,192.59181398944503,166.60611944994034,192.02376233961635
42.85,193.91033333333334,4.464388685288649,193.83123769843,182.93555177426614,193.9625849720327,166.60655837360713,193.15457638907583
43.53,195.83833333333334,3.124226997728133,195.64413153876814,183.18600969796267,195.30420726928855,166.60666608534703,194.24660974502643
44.2,196.85800000000003,2.772332772233519,197.44231639008706,183.41180759639724,196.59838087871475,166.60645913007778,195.28596616190148
44.88,197.896,2.6081700481371897,199.28007786905118,183.62147057909286,197.88453869484064,166.6060127251967,196.30495824748996
45.56,198.75200000000004,2.033887165011863,201.13125400185527,183.81308828629454,199.14396816168366,166.60548110267007,197.28905936984586
46.24,201.217,3.45481504570071,202.99639904172662,183.98818219175183,200.37747831832823,166.60508915462,198.23948271277507
46.92,203.303,5.28028379919109,204.87599651485712,184.14816791210012,201.58587734375774,166.60513056018135,199.15739640442274
47.6,204.46,5.199383424984156,206.7704500369788,184.2943552068608,202.7699725568546,166.60539621328664,200.04391216741064
48.28,203.8373333333333,4.34211979721119,208.68016733457404,184.42794797844124,203.93057041640017,166.6055901205982,200.90005866891926
