time,logistic,interface
0.0,0.2,0.2
0.5,0.25211957977902355,0.2848793652335865
1.0,0.31779525055175056,0.40578129819353886
1.5,0.40053789894571673,0.5779934682680291
2.0,0.5047576652237618,0.8232900774780503
2.5,0.635990486684684,1.1726878871735933
3.0,0.8011787783282666,1.6703822505577854
3.5,1.0090069899125866,2.379251192399664
4.0,1.2703326553417422,3.3890362429560392
4.5,1.5986859594083942,4.827234456174373
5.0,2.010851520874235,6.875986386895519
5.5,2.5276861143196596,9.793815092967375
6.0,3.174728392110587,14.045431062813705
6.5,3.983375240893293,19.433054555882194
7.0,4.991735559913236,24.645321450750775
7.5,6.245320532081979,29.72960310095443
8.0,7.798618698543069,34.684499436180566
8.5,9.714772153491818,39.51332075327254
9.0,12.06519691378607,44.21926132331028
9.5,14.93062752309886,48.805434552180195
10.0,18.39506341077924,53.27488225555113
10.5,22.54223159795762,57.630574658874174
11.0,27.450653129911593,61.87541039738302
11.5,33.18152345728674,66.01221651609376
12.0,39.76268109304817,70.04374846980458
12.5,47.185498118515994,73.97269012309665
13.0,55.383998155460695,77.8016537503329
13.5,64.23250531520527,81.53318227810321
14.0,73.55315654899647,85.16976550851302
14.5,83.12016665431479,88.71380817113247
15.0,92.67763030968922,92.16765410959447
15.5,101.97143020486565,95.5335934897908
16.0,110.78586550486001,98.81386279987214
16.5,118.94534828165648,102.01064485024781
17.0,126.3182142565856,105.1260687735862
17.5,132.8481817767377,108.16221002481443
18.0,138.52986825260496,111.12109038111846
18.5,143.39068682873977,114.00467794194294
19.0,147.49119249236637,116.81488767081332
19.5,150.9302757144892,119.5536193193449
20.0,153.79140821172894,122.22269008837151
20.5,156.12724975651534,124.82384683558814
21.0,158.00376342341605,127.35879948628849
21.5,159.50085489793315,129.829221033365
22.0,160.71237247650325,132.23674753730882
22.5,161.71278760690197,134.58297812620987
23.0,162.51638553872382,136.86947499575675
23.5,163.1567446772636,139.0977634092368
24.0,163.66571112438234,141.2693316975361
24.5,164.0728655115802,143.38563125913942
25.0,164.40267748217582,145.4480765601303
25.5,164.6663211383413,147.45804513419105
26.0,164.8729796741767,149.4168775826027
26.5,165.03268107608199,151.32587757424474
27.0,165.1562981227571,153.18631447016034
27.5,165.2555483852019,154.99945545203695
28.0,165.33909025276077,156.76649223989614
28.5,165.40631156238385,158.48857454114852
29.0,165.45924607535088,160.16682858839926
29.5,165.50022544372433,161.802357139448
30.0,165.53174437128624,163.39623947728882
30.5,165.55646061353804,164.9495314101104
31.0,165.5771162515064,166.46326527129577
31.5,165.5947151754452,167.93844991942262
32.0,165.609057337362,169.37607073826297
32.5,165.62019564282218,170.77708963678342
33.0,165.62837761396344,172.14244504914504
33.5,165.63404538949584,173.47305193470342
34.0,165.6378357247018,174.76980177800854
34.5,165.640579991436,176.033562588805
35.0,165.64330417812553,177.26517890203195
35.5,165.6464418337155,178.46547177782264
36.0,165.6492046949101,179.63524088976462
36.5,165.6514689537792,180.77530664804402
37.0,165.65317772759488,181.88642006762592
37.5,165.65432918206716,182.96929150348672
38.0,165.65497653134375,184.0246179196278
38.5,165.6552280380101,185.05308288907554
39.0,165.6552470130894,186.05535659388144
39.5,165.65525181604258,187.03209582512187
40.0,165.6555158547684,187.9839439828983
40.5,165.65609089114494,188.91153107633713
41.0,165.6567202979909,189.8154737235898
41.5,165.6573143049055,190.6963751518328
42.0,165.65780451946983,191.55482519726755
42.5,165.65814367860747,192.39140030512053
43.0,165.65830564858427,193.20666352964315
43.5,165.65828542500856,194.00116453411192
44.0,165.65809913283098,194.77543959082837
44.5,165.65778402634464,195.53001158111888
45.0,165.65739848918494,196.26538999533506
45.5,165.65702203432977,196.98207093285328
