time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
0.52,0.06000000000000002,0.43796346879619996,0.2889002313600839,0.28589503703461494,0.2885690385101548,0.2544655258973523,0.28893905380082485
0.85,0.287,0.11720494870098275,0.3628635321231101,0.35697765669438397,0.36416040148039003,0.29647596597115217,0.3649240875031318
1.17,0.628,0.35505070060485727,0.45076697065251264,0.441173023305808,0.45632504161398746,0.3438125228594863,0.45764227160133586
1.5,0.35333333333333333,0.45872032147413455,0.5613507737100653,0.5468057225817188,0.575860501520617,0.40053789894571673,0.5779934682680291
1.82,0.4086666666666667,0.19454134093640182,0.6914935116562935,0.6708703255694798,0.7216033736018158,0.46444239625827394,0.7248454871248464
2.14,0.5479999999999999,0.29983995731056257,0.8482153202984801,0.8200718743772267,0.9042295645857058,0.5385104139315856,0.9090133463473601
2.47,0.13366666666666666,0.7308969375591426,1.0424320900977466,1.0048435204076445,1.141100322392468,0.6272360126067245,1.1480611140916013
2.79,0.14500000000000002,0.5925774211020869,1.2675455212489295,1.218999468412204,1.4298816221924142,0.7271500896629876,1.4397568429973537
3.12,0.926,1.1513335745994728,1.5436268897630812,1.4818057541900578,1.8044582524806634,0.8467996704502351,1.8183887342400593
3.44,1.2736666666666665,0.7725181767009325,1.8602536077841552,1.7835885206974869,2.2611348775375766,0.9814803395923073,2.2803647897654606
3.76,1.8366666666666667,0.49950208541439883,2.231843604211265,2.1383910383697406,2.8333529256523953,1.1374307759808566,2.859780958237118
4.09,3.5193333333333334,0.8015761556666547,2.680298339227492,2.567627244973159,3.57561767798303,1.3240504140012714,3.611827885463439
4.41,3.369666666666667,0.6690563005706868,3.1863304409702833,3.0534202560754533,4.480525157467918,1.5339336461022421,4.529424050770951
4.74,4.543,0.8194437137473202,3.7902803095419633,3.635194749939518,5.65404825319815,1.7848837194147038,5.720675106255553
5.06,6.477,0.9304128116056873,4.4643102464194575,4.28700788449438,7.085202787137826,2.0668883151844546,7.17411006057854
5.38,7.848999999999999,1.1147048936826287,5.234122869702962,5.03461511649971,8.767190581925886,2.392822196633653,8.996599649357162
5.83,10.000333333333332,1.49257037801684,6.495522347745225,6.2664657779069515,12.28244730716875,2.9383110058616864,12.383727480262982
6.15,12.652000000000001,1.001460932837622,7.531738443299839,7.284242949008371,15.70151030368202,3.3987524947197394,15.6354655585051
6.47,16.102666666666668,0.6955173134677037,8.693311336397683,8.430966970456074,19.130464220709953,3.929637340630813,19.1114754493766
6.79,18.981,1.4840340292594363,9.98815048950133,9.71587990153758,22.48897540780494,4.541170819167473,22.4745025393086
7.11,23.61433333333333,1.6981649900210918,11.423544564389678,11.147678133947295,25.79255220069775,5.244722326312937,25.77513555087682
7.43,27.307666666666666,1.3660078086648444,13.006132535264614,12.734314737716225,29.04210417631951,6.053116230631416,29.025669191035497
7.75,31.889666666666667,0.8880576182508272,14.741624957028078,14.482970334141612,32.23851180473522,6.980758458982641,32.22301567241133
8.07,35.96733333333333,0.7820104432380244,16.634401604577587,16.39931551309318,35.38263806899893,8.043487745724782,35.368049956811205
8.39,39.79633333333333,0.8658985698875676,18.68750557948173,18.487413698838342,38.475333565746965,9.258569998781145,38.461633250916606
8.72,43.41933333333333,1.344688191862087,20.974451469515717,20.82323011776345,41.61169605244507,10.690868838973701,41.598887746667685
9.04,46.339,0.8058492414837917,23.35681229257194,23.26583351408801,44.60249021957294,12.274369857344947,44.59052186655581
