time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
0.44,1.043,0.9808460633555094,0.23796638666805445,0.2376619937603876,0.22995320569718308,0.22439403021902724,0.2265935213241442
0.77,1.8133333333333335,1.200652461511379,0.2707188315228946,0.2701248676788664,0.25521023237259544,0.24462083331557727,0.24883450691314105
1.11,1.6103333333333332,0.5066797147442684,0.30879108686739526,0.30783494447734544,0.28402038710490995,0.2673669314392444,0.2740349757420844
1.44,0.9093333333333332,0.2825036872915703,0.35041966669870794,0.34904148892615317,0.31496370652259614,0.29146207327694723,0.3009324148956132
1.77,0.7856666666666666,0.9024457509087919,0.397167487160257,0.39528871015188394,0.3491400405010572,0.31772560495280033,0.3304700920741278
2.11,1.4026666666666667,0.6180682270860826,0.4512726445295259,0.4487856107232052,0.3880733772124062,0.34725864054062955,0.36393820114810416
2.44,1.3536666666666666,0.3303064233909679,0.5101733014235621,0.5069954712470348,0.42983455758065964,0.37854129665503977,0.39965986272651416
2.77,2.451,1.1960802648651971,0.5760291597636282,0.5720505104390963,0.4758993553138266,0.41263647028160827,0.43888778511980586
3.11,1.1649999999999998,0.5237680784469401,0.6519093918537545,0.6469781330775597,0.5283070422304488,0.4509733829891947,0.48333590735647924
3.44,1.655,2.095642860794749,0.7341442558358606,0.7281521066410978,0.5844470137478996,0.49157842975124505,0.5307775038705229
3.77,2.6176666666666666,1.9633991782959808,0.8256802766323929,0.8184804140251124,0.6462899751547139,0.535830499763553,0.5828745267571421
4.11,2.590333333333333,1.9950461982955014,0.9306653725569038,0.9220540395612142,0.7165547028790225,0.5855815260633394,0.6419034679961371
4.46,2.506666666666667,1.8536645687214646,1.0511617474799617,1.0409046145740375,0.7965157279274251,0.6416112424548582,0.7089207955241876
4.88,2.443333333333333,1.739811867223963,1.2141344402205954,1.2016222669385994,0.9037825984240373,0.7159464701399294,0.7986408390516513
5.29,3.219666666666667,1.376111308482469,1.3946579135544215,1.3796261784234662,1.0217556715460832,0.7967811901824065,0.8971643541482496
5.71,4.258,0.7933019601639718,1.603979548973814,1.58601589308603,1.1578254408723998,0.8890187333816105,1.0107021477094003
6.13,3.798,0.9805243495191744,1.8406729582306647,1.81939610258303,1.3111433516858126,0.991883067608268,1.138613920738102
6.54,4.719333333333332,1.6665420286729442,2.100912545807725,2.076014242618066,1.47941227348411,1.103714210427932,1.2790827967363545
6.96,3.6680000000000006,2.88639030624758,2.400420561513423,2.3714002208865526,1.6730743826489636,1.2312882340720273,1.440962063487311
7.38,3.819333333333334,0.7126410971403021,2.736488787070743,2.702918205039643,1.8907962684758082,1.3735127798710334,1.6233153982305513
7.79,3.94,0.990273194628634,3.1031471305274168,3.0647088651162115,2.1292447225663698,1.5280654809594882,1.823564271270058
8.21,4.153666666666666,3.1811372704322793,3.5219060384986007,3.478046030961592,2.403114223645689,1.7042905335349443,2.0543551985807382
8.63,5.131666666666667,0.9827442868484829,3.9881549911213243,3.9384439036779173,2.7103448438723676,1.9006711507759393,2.314359930026381
9.04,5.598,1.6349394484200326,4.492921407679642,4.437102330348714,3.0460660419488863,2.11398419478486,2.599878319654223
9.46,4.7540000000000004,3.1865142397296764,5.064856123361257,5.0024040496395985,3.4307709781252393,2.3570691032091893,2.9288858976181915
9.88,6.565666666666668,2.437005607981511,5.696538323377707,5.627095661873244,3.8613924083074997,2.627757165081871,3.299516879791971
10.3,6.228999999999999,3.4489124372764235,6.392408406754644,6.315670342126902,4.34308250587489,2.929095262170453,3.717091775389094
10.71,5.497333333333333,3.9185723590784094,7.137887619245458,7.053800264574763,4.867957888041848,3.2560652892268798,4.175694623163542
11.13,7.476,2.859404133731362,7.973713966535167,7.88194020851193,5.467643295188708,3.6282824754224827,4.704182144681652
11.55,8.839666666666666,1.7935150775316424,8.887005761582133,8.78746933235965,6.13683399753974,4.0422785990266386,5.299522224565148
11.96,10.395000000000001,2.3871495554321687,9.857496281432168,9.750409670652974,6.864308081101534,4.4909698696107,5.953200281310745
12.38,9.323,0.4127238786404297,10.936885884220963,10.822167220443678,7.693677092267203,5.001051963576441,6.70651299195686
12.8,12.868333333333334,1.9630716577173979,12.106905820661039,11.9847920110324,8.61723412736989,5.5675500495121675,7.555281254966869
13.21,12.291333333333332,1.2319323574504135,13.34047662622132,13.21150494921985,9.619122034600355,6.180640421119549,8.48747090625274
13.63,14.342333333333334,1.0867061853754827,14.701620062419199,14.566126200802023,10.758704979167177,6.876546610861634,9.561689734677856
14.05,14.883666666666665,1.2380716188223249,16.165075628917105,16.023700097871558,12.024538949667955,7.6480471616945875,10.771797397047829
14.46,15.507666666666665,0.5336865497024758,17.695657245181962,17.54928862093023,13.394366930873051,8.481264073622206,12.100423366402698
14.88,15.846333333333334,2.012434926484168,19.371027289491668,19.220442169784715,14.948904450040294,9.424680259792105,13.631474139155538
15.3,16.381666666666668,2.525982053248465,21.158004125981325,21.004214623586716,16.671966101360493,10.467732202392957,15.35651740735148
15.72,18.782,3.640465492213873,23.059036152179146,22.903198709999508,18.580428071355165,11.619942651827158,17.30027338024087
16.13,20.063,2.5652171448047043,25.02666818780228,24.870063788146066,20.63972357283813,12.859576300585763,19.43487523530361
16.55,23.68466666666667,3.1120026242491066,27.15826952353398,27.002239456678193,22.969496282692774,14.257358587357308,21.852556848678606
16.97,24.12833333333333,3.700016261225527,29.408137910680026,29.254135313179322,25.506563913714487,15.795436575659517,24.554925310105297
17.39,28.085333333333335,2.057409617293876,31.776655322778684,31.626188379187116,28.293379130521746,17.4852034264957,27.65226036556483
17.8,30.320999999999998,1.1627071858382916,34.20309946900869,34.05756893488178,31.322339599148716,19.29223546004277,31.087726015064817
18.22,34.36766666666667,1.3209834720136853,36.80517580815769,36.66624332996716,34.7640671407832,21.316262383783936,34.98322419602245
18.64,37.452,2.5790267544172534,39.52384915792019,39.39305445814261,38.52497176580106,23.528116290892925,39.13499256491467
19.08,40.17733333333333,1.142796715664398,42.495048381756746,42.37437778569886,42.728998483935726,26.060098916536198,43.535591959866686
19.53,43.765666666666675,1.4125003834807737,45.661194690722255,45.55248849596457,47.165351842889464,28.890389491407046,47.937291726157966
19.98,49.202,1.6717897595092506,48.95255210156588,48.857327525517015,51.550287476314054,31.97692887979776,52.29816027411185
20.42,54.74666666666667,4.444299307352439,52.28762218939942,52.20691356054055,55.782380111221194,35.253935079875276,56.52302618641184
20.87,60.90566666666667,2.2386094642284826,55.812974736030945,55.748313649740744,60.07672995777583,38.88079654592432,60.8042967839314
21.32,65.32333333333332,2.303792814758594,59.44829655034451,59.40070663425246,64.3367215550691,42.79402955233568,65.04587635611779
21.77,70.73333333333333,2.8315060185938736,63.18743662468154,63.15759098862278,68.56230780716182,46.99894122485414,69.2481411038736
