time,logistic,interface
0.0,0.2,0.2
0.5,0.22955663026168865,0.23433549305640453
1.0,0.26346977584450354,0.27456566372858054
1.5,0.30237774873363005,0.3217023018275493
2.0,0.347011765518859,0.3769315128573481
2.5,0.39820773432759093,0.44164176915360764
3.0,0.45692244150583905,0.5174622978586227
3.5,0.5242495190071231,0.606297901522105
4.0,0.6014358956560724,0.7103854349633666
4.5,0.6899092148088479,0.8323445629324661
5.0,0.7912953044546184,0.9752356042199437
5.5,0.9074421751272109,1.1426598615365697
6.0,1.0404573671674153,1.3388344699537988
6.5,1.1927432947412904,1.5686796265538037
7.0,1.3670093254620213,1.8379690300005462
7.5,1.5663260447360614,2.153517797033252
8.0,1.7941774754049746,2.52324333000967
8.5,2.0545008821695383,2.956406389579806
9.0,2.3516910670636144,3.463904511433625
9.5,2.69067140448616,4.0586086689157375
10.0,3.0769795562823634,4.7554262054261685
10.5,3.5167795342201345,5.571803691599844
11.0,4.016865365388723,6.528198746123046
11.5,4.584651675883319,7.648916533855749
12.0,5.228281113422609,8.962244829072455
12.5,5.95672770851158,10.507364915317707
13.0,6.77950145313443,12.309840146926357
13.5,7.706621979159116,14.338628129631575
14.0,8.748604116500173,16.525593509589022
14.5,9.916142921673588,18.766067498723835
15.0,11.220655037397858,20.970298139625406
15.5,12.673039731413272,23.149319964071573
16.0,14.283238080003292,25.303770017343105
16.5,16.06023296799451,27.433925392061727
17.0,18.01195436286299,29.54006272953187
17.5,20.14411447357551,31.622454859868043
18.0,22.460168559839076,33.68136756574768
18.5,24.959836860742488,35.7170639892849
19.0,27.638774995400546,37.72980464611737
19.5,30.488573962953932,39.71984742540622
20.0,33.49676014256952,41.687447589836125
20.5,36.64723241087357,43.632857775615314
21.0,39.916978879059634,45.556327992475524
21.5,43.27879329975284,47.458105623671884
22.0,46.703953404342435,49.33843542598327
22.5,50.16222156916191,51.197559529711896
23.0,53.62184481548901,53.03571743868358
23.5,57.049554809545576,54.853146030247586
24.0,60.411715248969365,56.6500795552768
24.5,63.679437193519334,58.426749638167585
25.0,66.8278126943921,60.1833852768397
25.5,69.83592186850943,61.920212842736724
26.0,72.68686515532083,63.637456080825416
26.5,75.36776331680345,65.3353361095961
27.0,77.86975743746223,67.01407142106297
27.5,80.18800892432981,68.67387788076326
28.0,82.32169950696628,70.31496872775827
28.5,84.2742102144333,71.93755457463214
29.0,86.05302527563168,73.54184468645677
29.5,87.66557607737846,75.12804819526369
30.0,89.12004076519237,76.69636767233692
30.5,90.42562504492898,78.24700335969149
31.0,91.59256218278058,79.78015351728297
31.5,92.63211300527628,81.29601442300749
32.0,93.55656589928199,82.79478037270174
32.5,94.37913979436972,84.27664368014294
33.0,95.11062242271112,85.74179467704894
33.5,95.75815711935465,87.1904217130781
34.0,96.32876312086714,88.6227111558293
34.5,96.82955482420444,90.0388473908421
35.0,97.26774178671155,91.43901282159646
35.5,97.65062872612255,92.82338786951306
36.0,97.9856155205606,94.19215097395298
36.5,98.28019720853796,95.54547859221807
37.0,98.54108168844401,96.88354519955051
