time,data,data_error,nutrient_n,logistic_n,interface_n,logistic,interface
0.31,0.2773333333333334,0.08558231904624539,0.11405480298960749,0.11402182034259385,0.11025735685824989,0.10893160424279077,0.1103217186688813
0.67,0.338,0.09924212815130477,0.13266587901706686,0.1325850695760412,0.12349366821077372,0.12030841000096426,0.12365247935446157
1.03,0.30633333333333335,0.15766208590949612,0.15405186157053374,0.15391139676289428,0.13831545739317921,0.13287185657922518,0.1385940884481537
1.38,0.3426666666666667,0.1313671699220674,0.17785134434814004,0.17763981195667716,0.15442522649697382,0.1463410421006192,0.15484964167075896
1.74,0.42300000000000004,0.121540116833908,0.20581991138272288,0.20551991937830302,0.17295056344018472,0.1616185939237769,0.1735610018170653
2.1,0.37600000000000006,0.5474714604433732,0.23777023723093285,0.2373641151034679,0.19369322470597974,0.1784882905585774,0.19453331801859805
2.46,0.337,0.538116158463951,0.274195598227938,0.27366346008169445,0.21691759103009695,0.19711523440028128,0.21803965711710907
2.82,0.408,0.4141642186379697,0.315637317592735,0.3149569470114147,0.24292040080774446,0.21768183435802382,0.2443866956355674
3.17,0.508,0.25833311827948036,0.3613014251323577,0.3604533426603612,0.27117941821177505,0.23972780681503605,0.2730508514235924
3.53,0.8803333333333333,0.3900158116452888,0.4144302416469716,0.41338304778085994,0.30367078730796837,0.26472905402664604,0.30604442515655184
3.97,1.204,0.2148580927030677,0.4888691915890996,0.48753853116306917,0.3487010400485952,0.2988424291681817,0.35183211421118327
4.42,1.2686666666666666,0.30538554866485307,0.5771992021817585,0.5755287087863358,0.4016541992243928,0.33826732585361047,0.4057548334096282
4.86,1.4256666666666666,0.289627922226662,0.6770721580720495,0.675016691876191,0.46117867510075555,0.3818220752494446,0.4664596563204322
5.3,1.7856666666666667,0.26512701358657004,0.7919958992413766,0.7895001116739554,0.529499431139834,0.4309602319407061,0.5362451408094259
5.74,1.8376666666666666,0.6936572160176331,0.9238070544296019,0.920812601660587,0.6079152850857574,0.4863893221068838,0.6164757357384423
6.18,2.594,0.11497391008398392,1.0744959920956965,1.0709431485650163,0.6979217546729845,0.5489099006017442,0.7087096709682986
6.62,2.857333333333333,0.5917789564806553,1.2461868691979128,1.2420159679796028,0.8012200051796469,0.6194197379903507,0.8147363978905872
7.07,3.205,0.739308460657661,1.4458531213413672,1.440989923299613,0.9226484269916778,0.7008418621080856,0.9395959896816354
7.59,3.4073333333333333,0.17518656721716225,1.7102656134011969,1.7045299666459564,1.0859911820533374,0.8082332575683971,1.1079104164756348
8.17,3.9606666666666666,0.09371410423908073,2.05275181557336,2.045963932552794,1.3024573458332698,0.9473567339180108,1.331447449996339
8.74,4.584666666666666,0.13597548798711226,2.4439179212065483,2.4360342754578608,1.557067471807538,1.107144246282467,1.5949916447617447
9.31,5.311333333333334,0.6284777906444533,2.8952570088557317,2.8862409597865195,1.8612685648508367,1.293522358578188,1.9107227195780947
