names,parameters
Nutrient_n,"[1.4345693269779018, 0.00010000000000000002, 0.9999999999999999, 0.2114059041035024]"
Logistic_n,"[1.392216930786537, 365.2011665597629, 0.9999999999999999, 0.1869344813379206]"
Interface_n,"[1.115404680453732, 0.05153853752237485, 15.290157025514393, 0.474289690731901, 6.326369922435185e-45]"
Nutrient,"[0.46380239206992063, 165.657769323817]"
Interface,"[0.7590526257703044, 0.05155605894558507, 15.243745168270465]"
