names,parameters
Nutrient_n,"[0.8526411537029414, 0.00010000000000000002, 0.9999999999999999, 0.12059545509355966]"
Logistic_n,"[0.8505665278787162, 2691.169682019887, 0.9999999999999999, 0.11961385220438416]"
Interface_n,"[0.36237397099267105, 0.023848288724451938, 14.999461135290534, 0.06936213988918566, 0.00957767844893807]"
Nutrient,"[0.27625518369950863, 100.33870100397547]"
Interface,"[0.33955407812804833, 0.02268114909060098, 14.30827219318228]"
