time,logistic,interface
0.0,0.2,0.2
0.5,0.2279431186273509,0.23048399808640307
1.0,0.2597857315966733,0.2656144096032516
1.5,0.29607048705473143,0.30609924326787846
2.0,0.3374155579902914,0.35275503961869986
2.5,0.3845241128009128,0.40652173138175135
3.0,0.43819636072747575,0.468483867122289
3.5,0.49934385445489426,0.5398906153263108
4.0,0.5690011034381252,0.6221791884549103
4.5,0.6483458712994296,0.7170124163400787
5.0,0.7387201364390877,0.8263010086456286
5.5,0.8416427146742879,0.9522424686609516
6.0,0.9588377011057471,1.0973806104596004
6.5,1.0922728580043837,1.264648244020434
7.0,1.2441772444069321,1.4574085357091973
7.5,1.417066674390414,1.6795326831844628
8.0,1.6137918214691302,1.935520394189909
8.5,1.8376006508162122,2.230549435571102
9.0,2.0921698066928864,2.5705390277388367
9.5,2.3816141376442195,2.962311812313649
10.0,2.7105845427309183,3.4137854044387006
10.5,3.084332529141277,3.9341386080468013
11.0,3.5088055595083434,4.533822043622761
11.5,3.990659800066567,5.22487757563583
12.0,4.537269967286771,6.021137490859339
12.5,5.156902786858984,6.938772798527782
13.0,5.858837516681381,7.9964650410564815
13.5,6.653404485809168,9.215414363385609
14.0,7.551996302284131,10.620074017027589
14.5,8.567067853134695,12.238503632011593
15.0,9.712121000133648,14.103516832240711
15.5,11.002187275897121,16.25322122268627
16.0,12.453645246171723,18.731018389387923
16.5,14.08381715668494,21.55274585418986
17.0,15.91096589656256,24.762234989365442
17.5,17.95429499832852,28.534524847631744
18.0,20.233443508069413,32.90098823743523
18.5,22.76918762717383,37.733579287510516
19.0,25.582801787646265,42.74483344688089
19.5,28.69386773168372,47.645120419188956
20.0,32.12024607902653,52.491035508515495
20.5,35.87807632695781,57.28705830869393
21.0,39.98161531934287,62.03370251620262
21.5,44.440791147652476,66.73147926462742
22.0,49.261488131659156,71.38090135170418
22.5,54.4429934780508,75.98246352837954
23.0,59.97725427426018,80.53665464919682
23.5,65.84887748846546,85.04395918302693
24.0,72.0351299695897,89.50485721306842
24.5,78.50613776016777,93.91982443684745
25.0,85.22548352133353,98.28933216621782
25.5,92.14267491263188,102.61384732736083
26.0,99.20305939044731,106.89383246078546
26.5,106.35053061171806,111.12974572132845
27.0,113.52752843393618,115.32204087815379
27.5,120.67503891514772,119.47116731475343
28.0,127.73259431395216,123.57757002894685
28.5,134.6386527161268,127.64168963288103
29.0,141.33936738197457,131.66396235303057
29.5,147.79156723842564,135.64482003019768
30.0,153.95889123748066,139.5846901195126
30.5,159.8119286227597,143.48399569043238
31.0,165.32821892950227,147.34315542674216
31.5,170.4922519845676,151.16258362655506
32.0,175.2954679064342,154.94269020231084
32.5,179.73625710520017,158.68388068077815
33.0,183.8199602825828,162.38655620305158
33.5,187.55985731567435,166.05111352455538
34.0,190.97265505692422,169.67794501503863
34.5,194.07248948478116,173.26743865858182
