file,replicate,time,border_l,border_r,offset_l,offest_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,loess_height,local_slope
bgt127_001.datx,A,0.416666666666667,8976,26812,0.0,0.0,11082,50,bgt127,0.3396445835605846,2.9311022247384244,-0.29754781414885656,3.0965127,14240,25759,0.3221055452991689,0.09185326541345953,-0.17972141315775544,0.3347498929910171,0.1705514290720489
bgt127_004.datx,A,0.740555555555556,8968,26815,0.0,0.0,11076,50,bgt127,0.26566766310861567,3.6989995618350804,-0.37766134681442054,3.09842252,14240,25759,0.26389577648196255,0.09306027799526312,0.5684154828119387,0.3833334468326186,0.11392886015429038
bgt127_007.datx,A,1.06388888888889,8964,26831,0.0,0.0,11066,50,bgt127,0.46910940597808803,4.710646996718424,-0.2606993869630969,3.10189492,14240,25759,0.4476834492578231,0.09854362841780374,0.9328715012436428,0.4108213917957617,0.04172320578143984
bgt127_010.datx,A,1.38777777777778,8961,26845,0.0,0.0,11058,50,bgt127,0.8175005343837256,5.928039077054564,-0.3564767381467391,3.104846459999999,14240,25759,0.7498301632717373,0.12834101817052412,-1.18409035897769,0.41292826133942817,0.04309197309056739
bgt127_013.datx,A,1.71166666666667,8950,26863,0.0,0.0,11043,50,bgt127,0.3185218274593353,7.614847999000631,-0.44968985226296354,3.1098814400000006,14240,25759,0.3663164525584064,0.12206950396598418,-0.24020328937432145,0.39066262175861766,-0.3239961084462689
bgt127_016.datx,A,2.03611111111111,8925,26882,0.0,0.0,11021,50,bgt127,0.1284774231062329,9.768176500125264,-0.437848528737959,3.11752072,14240,25759,0.2883838297836276,0.17908963490635685,-1.164194159546171,0.2474824138737266,-0.49319590629044646
bgt127_019.datx,A,2.36,8890,26891,0.0,0.0,10999,50,bgt127,-0.26344443877314916,11.726878047942591,-0.7390166651821346,3.1251599999999997,14240,25759,-0.08868572300271656,0.32142953727862006,0.3626046180882579,0.21685124114039983,0.135376153726271
bgt127_022.datx,A,2.68388888888889,8876,26940,0.0,0.0,10968,50,bgt127,-0.18222170072840527,14.026154139039136,-0.6259744875642355,3.13609806,14240,25759,0.028757883855869675,0.2948414725366403,2.5355256096273604,0.3485246789327338,1.1111550707822497
bgt127_025.datx,A,3.00833333333333,8828,26966,0.0,0.0,10931,50,bgt127,0.6270305279213062,16.494446717475512,-0.2146380291778769,3.14894594,14240,25759,0.8513950816460689,0.3020021694849296,1.202267820090639,0.7510139954106894,1.3351446651562282
bgt127_028.datx,A,3.33222222222222,8805,27032,0.0,0.0,10886,50,bgt127,1.0994733065199398,18.79044524328492,-0.001852233941463055,3.16439812,14240,25759,1.2407962700420936,0.37783051121773664,1.266506338723794,1.3290411775426967,2.1646139091631644
bgt127_031.datx,A,3.65777777777778,8752,27061,0.0,0.0,10845,50,bgt127,1.2879108832967177,20.894762930580328,-0.0017160028764919844,3.17863496,14240,25759,1.6531144447599564,0.45119966301363446,5.493260198247994,2.03250878033822,1.9388919233852953
bgt127_034.datx,A,3.98166666666667,8711,27124,0.0,0.0,10793,50,bgt127,3.2712382382414944,23.522350263461703,-0.0013341333069547545,3.1966914400000004,14240,25759,3.432320386748064,0.5288340823244626,-1.7060497438128437,2.6671278825071267,2.1248567397450557
bgt127_037.datx,A,4.30555555555556,8664,27183,0.0,0.0,10740,50,bgt127,2.349899640714284,25.702381784933095,-0.00022676588196191005,3.2150951599999997,14240,25759,2.879749830835347,0.8025364790063055,3.2101343024919156,3.4781168891626395,2.4556732715080365
bgt127_040.datx,A,4.62944444444444,8601,27236,0.0,0.0,10682,50,bgt127,3.1560164378024638,28.089469520946295,-0.0013396593822108116,3.23523508,14240,25759,3.9194766632535334,1.1777286065906631,5.0647477897502995,4.320852584053835,3.265287112476769
bgt127_043.datx,A,4.95388888888889,8533,27301,0.0,0.0,10616,50,bgt127,4.666183393339452,31.594292536741705,-0.0005474050813063513,3.25832654,14240,25759,5.5627059461503245,1.3199038363112463,3.3252935480246832,5.479419811117934,3.6741230446407425
bgt127_046.datx,A,5.27777777777778,8465,27376,0.0,0.0,10544,50,bgt127,5.421015779895242,34.78279207735977,-0.000714543777576182,3.2831542,14240,25759,6.639731578649436,1.3745793116506086,4.770557263501343,6.922142397363661,5.700666574883653
bgt127_049.datx,A,5.72277777777778,8376,27492,0.0,0.0,10442,50,bgt127,7.244826962094521,38.747509037482814,-0.0019704257138073444,3.3187462999999995,14240,25759,8.76262956090753,1.379752386402203,9.8492075633647,9.717620458114164,7.184903490021064
bgt127_052.datx,A,6.04277777777778,8298,27585,0.0,0.0,10356,50,bgt127,9.916130503057502,42.209190162848245,-0.0018694244135986082,3.3484353199999997,14240,25759,11.914375981184238,1.717150338973605,10.58318654738487,12.271521537469319,8.394224230570897
bgt127_055.datx,A,6.36333333333333,8212,27665,0.0,0.0,10273,50,bgt127,12.764770549743844,45.97256181994453,-0.0007427996242768131,3.37725624,14240,25759,15.306875224429215,2.155631020432831,9.53673326315351,15.236755516387875,10.321907117484823
bgt127_058.datx,A,6.68388888888889,8126,27751,0.0,0.0,10187,50,bgt127,15.407703806216887,48.66522771076416,0.0,3.40711888,14240,25759,18.36392805378458,2.5140388943530647,11.144052287205842,18.704066874095954,11.254776238016966
bgt127_061.datx,A,7.00388888888889,8026,27841,0.0,0.0,10092,50,bgt127,18.64699111844311,52.09494075535258,-0.003071179031394422,3.44010668,14240,25759,21.930024785690453,2.8103001392602978,13.176924212960266,22.405328431305144,11.76041250316274
bgt127_064.datx,A,7.325,7940,27935,0.0,0.0,10002,50,bgt127,22.719972724480613,55.14364851309074,-0.00020546084488159977,3.47135828,14240,25759,26.16128156074101,2.873358129284955,15.044123628534146,26.42738020065331,13.43844957774797
bgt127_067.datx,A,7.64555555555556,7867,28043,0.0,0.0,9912,50,bgt127,27.462879302187503,58.968804737545724,-0.0007695613749092445,3.5027835,14240,25759,30.983758968332292,2.877221596765943,13.262550651203226,30.795061758295567,13.22920125964842
bgt127_070.datx,A,7.96611111111111,7779,28146,0.0,0.0,9816,50,bgt127,31.515723132150015,62.06763907011555,-0.0003622585645643994,3.53594492,14240,25759,35.23514326041237,2.93968658312897,14.1090404404389,35.03784662016564,13.197059715607544
bgt127_073.datx,A,8.28722222222222,7679,28222,0.0,0.0,9728,50,bgt127,36.0467412818507,65.45326685989494,-0.00030672226057504304,3.5665020400000005,14240,25759,39.765712912953276,2.8584885642564153,8.025928756183449,39.01073781950587,11.204646076524583
bgt127_076.datx,A,8.60777777777778,7597,28326,0.0,0.0,9635,50,bgt127,38.41656065153802,67.80020168580813,-0.0009919566837197635,3.5987953599999996,14240,25759,42.33846896424102,2.984365101620987,10.43694354186961,42.531225563820286,11.044951052702707
bgt127_079.datx,A,8.92944444444444,7520,28431,0.0,0.0,9544,50,bgt127,41.71574859811153,70.59811600565808,-0.0013805391099595,3.6303942,14240,25759,45.69568580354234,3.0128293542515854,12.834983581247528,45.9360073654543,10.205409351275634
bgt127_082.datx,A,9.25,7433,28523,0.0,0.0,9455,50,bgt127,46.006913835451996,73.30483397193166,-0.00020229306392138824,3.6614721799999996,14240,25759,49.810011095975625,2.881289378050658,7.745950665278918,49.1347917145945,9.757246969965365
bgt127_085.datx,A,9.57055555555556,7354,28618,0.0,0.0,9368,50,bgt127,48.33495027959725,75.71288934448967,-0.008439979570539435,3.6916820599999998,14240,25759,52.293018614790064,2.968236017542618,8.52381443462227,52.18763753976147,9.520683552820337
bgt127_088.datx,A,9.94,7242,28716,0.0,0.0,9263,50,bgt127,51.42124715531099,78.2881585585892,-0.003637176709162304,3.7281422600000003,14240,25759,55.44209450313659,2.9992264033260327,9.687907065044392,55.656283734466676,9.076157861121175
bgt127_091.datx,A,10.4266666666667,7112,28856,0.0,0.0,9128,50,bgt127,56.230489803507226,81.7797919748773,-0.0004358292790129781,3.77501966,14240,25759,60.156875941458516,2.926130547653507,8.579931562746342,59.96763256759462,8.86815906152087
bgt127_094.datx,A,10.9138888888889,6986,29001,0.0,0.0,8992,50,bgt127,60.27195415112874,85.7675296290654,-0.0009596898999006953,3.82207068,14240,25759,64.33720926397419,3.0658901830526433,8.547343752880213,64.19323323297706,8.621369267406678
bgt127_097.datx,A,11.4011111111111,6858,29140,0.0,0.0,8859,50,bgt127,64.51296301722323,89.84748628373563,-0.0013479623521561734,3.8684272199999996,14240,25759,68.50166508134951,3.056804034472181,7.618530250335122,68.31149623584378,7.990480185779987
bgt127_100.datx,A,11.8883333333333,6726,29270,0.0,0.0,8728,50,bgt127,68.27152971738906,93.75627495781373,-0.0014673715486424044,3.9139156600000002,14240,25759,72.21358231998485,3.1120362108351904,7.788550654830477,72.12349841374697,7.787638081779917
bgt127_103.datx,A,12.3761111111111,6604,29404,0.0,0.0,8600,50,bgt127,72.09929808045854,97.44723716594308,-0.0035366555166547187,3.9583623799999996,14240,25759,76.0126642505079,3.145042219477346,6.717871403894019,75.81646433757976,7.2670427819547
bgt127_106.datx,A,12.8633333333333,6483,29531,0.0,0.0,8476,50,bgt127,75.22374990325261,101.24054988831267,-0.003573660786059918,4.00142014,14240,25759,79.2857604845161,3.313701846039702,7.310839399541075,79.31556493944143,7.141753377397606
bgt127_109.datx,A,13.3522222222222,6356,29657,0.0,0.0,8349,50,bgt127,78.79801397383198,104.7169242363052,-0.0011479241329652723,4.045346,14240,25759,82.85994863540293,3.3825453360893185,6.797212451398892,82.7562133632375,6.9828005751370625
bgt127_112.datx,A,13.8394444444444,6244,29800,0.0,0.0,8222,50,bgt127,82.06680400403638,108.0093006177849,-0.0030472972212010063,4.0896191,14240,25759,86.17170159088991,3.449360288884947,6.655935418298235,86.07141636849039,6.716082046867697
bgt127_115.datx,A,14.3261111111111,6126,29930,0.0,0.0,8098,50,bgt127,85.19060666289079,111.37090414797785,-0.0003053040418308228,4.132676859999999,14240,25759,89.41092349446194,3.579760979697931,6.24232096077659,89.26365880132411,6.2544958837479925
bgt127_118.datx,A,14.8133333333333,5999,30049,0.0,0.0,7975,50,bgt127,88.15441121669937,114.62051295179481,-0.001961443922482431,4.17538738,14240,25759,92.45232098479573,3.6801837761507272,5.084542879061169,92.29237393740812,6.2274977197477455
bgt127_121.datx,A,15.3,5881,30179,0.0,0.0,7851,50,bgt127,90.50538391876762,117.17163152810826,-0.0020969360921299085,4.21844514,14240,25759,94.92679851927234,3.8124339770480646,7.438776944183403,95.32886498721797,6.314116248064607
bgt127_124.datx,A,15.7872222222222,5778,30320,0.0,0.0,7729,50,bgt127,94.13047515158178,120.72471735261934,-0.0025367457092215773,4.26080842,14240,25759,98.55113595263263,3.815871145276981,6.4925097794339255,98.39259037336075,6.276031685435299
bgt127_127.datx,A,16.2738888888889,5657,30437,0.0,0.0,7610,50,bgt127,97.35105908897458,123.5685894203234,-0.006419537094188854,4.30212998,14240,25759,101.7108240452907,3.8064750388383164,4.952357872729427,101.48914845667338,6.466581121447632
bgt127_130.datx,A,16.7622222222222,5548,30568,0.0,0.0,7490,50,bgt127,99.71774504111454,126.00265128275714,-0.002875225509342272,4.34379878,14240,25759,104.12922547314007,3.873015361722948,8.514951076887725,104.53304492019026,5.87258039465631
bgt127_133.datx,A,17.2488888888889,5438,30697,0.0,0.0,7370,50,bgt127,103.89207376831837,129.94342193997363,-0.0023261860114871524,4.38529396,14240,25759,108.27316833055905,3.851819224852123,2.593300566151342,107.35133407706479,5.804510931100282
bgt127_136.datx,A,17.7355555555556,5334,30828,0.0,0.0,7253,50,bgt127,105.06092754195924,131.2225460369882,-0.0034903758532891516,4.4260946599999995,14240,25759,109.53524127275278,3.939042619222776,7.242149178263527,110.15861332914258,5.656669843853095
bgt127_139.datx,A,18.2211111111111,5222,30953,0.0,0.0,7134,50,bgt127,108.58809631275653,134.62833571878582,-0.0018127216426364612,4.4672426,14240,25759,113.05170704042034,3.941657068249963,5.219989254187405,112.79227910492065,5.230939136789772
bgt127_142.datx,A,18.7077777777778,5117,31081,0.0,0.0,7018,50,bgt127,111.079260537972,137.04515389907465,-0.0016187095643545035,4.507696060000001,14240,25759,115.59210181079172,3.994459503593395,4.299469793584351,115.3265742180466,5.241468817178401
bgt127_145.datx,A,19.195,5005,31206,0.0,0.0,6899,50,bgt127,113.12166666381381,139.61238365655663,-9.196806786349043e-6,4.548844,14240,25759,117.68689903799911,4.06341177813399,5.410617698715107,117.88159718207666,5.0822536730376555
bgt127_148.datx,A,19.6816666666667,4894,31325,0.0,0.0,6784,50,bgt127,115.73294026349686,141.9709464170228,-0.0050389890966471285,4.5887766,14240,25759,120.32006631804065,4.075826660446374,5.188602451500174,120.4079501851075,5.484682614755059
bgt127_151.datx,A,20.1683333333333,4781,31451,0.0,0.0,6665,50,bgt127,118.24734710031407,144.49245679195155,-0.004045154772029491,4.63027178,14240,25759,122.84518617777039,4.087676905094493,6.714623676071255,123.0874956611122,5.352347818158236
bgt127_154.datx,A,20.6555555555556,4667,31574,0.0,0.0,6546,50,bgt127,121.60514869679173,147.19482723998954,-0.0033083237540267874,4.67141972,14240,25759,126.1167000466123,4.021562628083922,5.0701970284835625,125.68530999714922,5.1197741448942935
bgt127_157.datx,A,21.1438888888889,4564,31705,0.0,0.0,6429,50,bgt127,123.98064498434906,149.9824604637215,-0.0027617720734269824,4.7120468,14240,25759,128.59264626218825,4.094670948974063,3.346964566867511,128.12452334087305,4.888753701767712
bgt127_160.datx,A,21.6322222222222,4433,31813,0.0,0.0,6310,50,bgt127,125.62474535270303,151.2658865678095,-0.002901320294768084,4.7535419800000005,14240,25759,130.22708062567511,4.085610533114449,4.31329771880859,130.42591388409053,4.454263135184533
bgt127_163.datx,A,22.1194444444444,4313,31918,0.0,0.0,6197,50,bgt127,127.71537784487737,153.3829338107862,-0.002496737113688141,4.79260648,14240,25759,132.32861512533898,4.105695476458382,5.684420455915683,132.60562678533364,4.712422067047015
bgt127_166.datx,A,22.6061111111111,4186,32031,0.0,0.0,6077,50,bgt127,130.45060998056942,156.0512752259674,-0.0033024800541170407,4.83427528,14240,25759,135.09503308055147,4.132596195472301,3.9307625234492343,134.91879947385178,4.868746090146345
bgt127_169.datx,A,23.0933333333333,4068,32141,0.0,0.0,5963,50,bgt127,132.37066794276325,158.09654439150836,-0.0036490131460595876,4.87386064,14240,25759,137.01018793225415,4.1417147366166205,6.501843760352771,137.344064781948,5.0203906700262735
bgt127_172.datx,A,23.5688888888889,3960,32333,0.0,0.0,5813,50,bgt127,135.46695926550456,161.1497198699799,-0.0021680503523384687,4.92594664,14240,25759,140.10217585384441,4.138626371730204,3.8161408924472284,139.64096820786511,4.576731374140621
bgt127_175.datx,A,24.0561111111111,3834,32394,0.0,0.0,5720,50,bgt127,137.4119937216601,162.602337193337,-0.0033595029526622966,4.958413579999999,14240,25759,141.96148449977557,4.065876208413579,3.6631268117231786,141.87229358056408,4.622394368201412
bgt127_178.datx,A,24.5433333333333,3714,32531,0.0,0.0,5591,50,bgt127,139.14253635003115,164.30897348451253,-0.003521513306623092,5.00303392,14240,25759,143.74624128526506,4.113330636682651,5.463629374743398,144.06865441072367,4.389821575312851
bgt127_181.datx,A,25.0311111111111,3598,32615,0.0,0.0,5491,50,bgt127,141.8902883444789,166.78575304149854,-0.003697289528645342,5.03775792,14240,25759,146.4112782802789,4.047787471372706,4.447804467084401,146.15582009183134,4.132494220101819
bgt127_184.datx,A,25.52,3498,32783,0.0,0.0,5357,50,bgt127,144.06309281200447,169.1257286871005,-0.004807131786947139,5.08428808,14240,25759,148.58576046418688,4.0519279480278065,2.5017224192463847,148.17151474751995,4.129974826908409
bgt127_187.datx,A,26.0077777777778,3371,32771,0.0,2.0,5300,50,bgt127,145.3816861910418,169.84527086311937,0.0,5.10425438,14240,25759,149.80604506646378,4.014030980128503,4.40625053210873,150.11492604555943,3.7303709278964448
