strain,fit,u0,x1,x2,x3
bgt127,48h,0.01,1.2881093038661842,0.05127468159248058,8.947931287405991
bgt127,48h,0.02,1.1621188741242587,0.05132022286747052,9.924020583037386
bgt127,48h,0.03,1.0886031333551536,0.05135028433005559,10.598451373909736
bgt127,48h,0.04,1.0374917955236138,0.0513855413129278,11.125786457937707
bgt127,48h,0.05,0.9977047663235159,0.05140984173967943,11.573209464682614
bgt127,48h,0.06,0.9642834329131189,0.05142362625607527,11.976524170103607
bgt127,48h,0.07,0.9393060976038644,0.051458401414681436,12.300695769675428
bgt127,48h,0.08,0.9167301132996286,0.05147035937134777,12.605661155217257
bgt127,48h,0.09,0.8950437982871419,0.05149131649856452,12.914671118230743
bgt127,48h,0.1,0.8780985273869669,0.051508483756372604,13.166629195523956
bgt127,48h,0.11,0.8613802491575304,0.05151906181294847,13.424392166420464
bgt127,48h,0.12,0.8472161040930499,0.0515078505640828,13.646865887863571
bgt127,48h,0.13,0.8335813001887025,0.05152517393927632,13.873294463946047
bgt127,48h,0.14,0.8211369118945959,0.05151384699210163,14.08148219959873
bgt127,48h,0.15,0.8095205602053556,0.05152503667883656,14.285697700470655
bgt127,48h,0.16,0.7971650909511698,0.051594531220235475,14.51996074294084
bgt127,48h,0.17,0.7874251201366641,0.05159017276193529,14.699221515478044
bgt127,48h,0.18,0.7780269095374213,0.0515965499766516,14.878077776603746
bgt127,48h,0.19,0.7687015965627367,0.05161642014346572,15.062542041655979
bgt127,48h,0.2,0.760727300230642,0.05161445796141697,15.220105715825364
bgt127,48h,0.21,0.7530497395743685,0.051608190703047646,15.374069714336459
bgt127,48h,0.22,0.7433416734112459,0.051658223697214393,15.585067853636295
bgt127,48h,0.23,0.7366896910524544,0.05166027090063125,15.726288301753325
bgt127,48h,0.24,0.7302494415005555,0.051658779119702035,15.86473887412522
bgt127,48h,0.25,0.724009638581887,0.05165378178951413,16.00047970157636
bgt127,48h,0.26,0.7179535977067611,0.051645962236465046,16.13384561199405
bgt127,48h,0.27,0.7120181200236592,0.05164362444259254,16.267897245497338
bgt127,48h,0.28,0.7063214663580211,0.051631612180638435,16.39656080098951
bgt127,48h,0.29,0.7007799563405166,0.05161706589773509,16.523099655742
bgt127,48h,0.3,0.6953874566420225,0.05159987623720499,16.647500829877053
bgt127,48h,0.31,0.6893878944472267,0.05166709745553589,16.807300944225194
bgt127,48h,0.32,0.6846962621676486,0.05171459418713802,16.92948534700196
bgt127,48h,0.33,0.6789601786798234,0.05170169460317087,17.073293032542903
bgt127,48h,0.34,0.6744351407343381,0.05169262160418213,17.18585362428809
bgt127,48h,0.35,0.6704343231836157,0.05163866585778514,17.276178831110244
bgt127,48h,0.36,0.6660243145906098,0.05162212437796304,17.38682280187247
bgt127,48h,0.37,0.6616819998445368,0.05157054681106501,17.489039435214448
bgt127,48h,0.38,0.6567887880982568,0.05169868042422541,17.64920701926221
bgt127,48h,0.39,0.6528362047504275,0.05168697768366421,17.75338388261282
bgt127,48h,0.4,0.6488426345351632,0.051687056235418125,17.86272255373503
bgt127,48h,0.41,0.645069556652234,0.05167367663482564,17.96408890825854
bgt127,48h,0.42,0.6415003880368957,0.051632913307579666,18.05435823677858
bgt127,48h,0.43,0.6377762871250053,0.05162089334568153,18.156930315097647
bgt127,48h,0.44,0.6327529072038146,0.051764984691693536,18.335839449340902
bgt127,48h,0.45,0.6303736606056739,0.05168101227771562,18.3848588061752
bgt127,48h,0.46,0.6270217801794005,0.05166632522878792,18.47960984755811
bgt127,48h,0.47,0.6237301686816489,0.05165050347334348,18.573302285565497
bgt127,48h,0.48,0.6205016340878433,0.05163091981002121,18.665142337870822
bgt127,48h,0.49,0.6162777657500262,0.051763092735017356,18.82587747690704
bgt127,48h,0.5,0.6140573292531943,0.051649971342317295,18.865887063227884
jt305,48h,0.01,0.49939467287718453,0.01985327466162348,9.282188850609767
jt305,48h,0.02,0.4505296680747151,0.020168335690134574,10.343829987207291
jt305,48h,0.03,0.4223666904760328,0.02021522425153937,11.042179271011406
jt305,48h,0.04,0.4006099419635811,0.021611093723860254,11.918582938619256
jt305,48h,0.05,0.38664222009032645,0.020940566520731892,12.2111986078644
jt305,48h,0.06,0.37272221928079013,0.022437775412949293,12.990883018961872
jt305,48h,0.07,0.36370942444874643,0.02157658631372217,13.12044208858801
jt305,48h,0.08,0.3542490828965447,0.02235086533702726,13.645499544208068
jt305,48h,0.09,0.34698508741651624,0.021564556770143038,13.750351471258757
jt305,48h,0.1,0.339418737381051,0.02279493371729617,14.3468373952826
jt305,48h,0.11,0.33259326842245357,0.023467529191618774,14.803672553262103
jt305,48h,0.12,0.3276530721563699,0.022876977411048743,14.882610852647872
jt305,48h,0.13,0.32238002622409656,0.023176760302197747,15.200915492496224
jt305,48h,0.14,0.3173948670246032,0.023654000812861144,15.560775533313263
jt305,48h,0.15,0.3129431760480507,0.023855398346143815,15.834223892623069
jt305,48h,0.16,0.3090940625483038,0.023589108695210005,15.962423237461175
jt305,48h,0.17,0.30527547606661687,0.023385459254194333,16.106625653027063
jt305,48h,0.18,0.30164129564218245,0.02350038000612874,16.333667730143308
jt305,48h,0.19,0.2983449204849225,0.02372710585952723,16.551485726164596
jt305,48h,0.2,0.29505126860895625,0.02382673261193796,16.788279488605443
jt305,48h,0.21,0.2918063066591563,0.02316452566607901,16.792149982164794
jt305,48h,0.22,0.2889907324146296,0.023522380739128643,17.05581029643297
jt305,48h,0.23,0.2862919370185387,0.023867719082863753,17.314235033665913
